# 100       -0.206196  -0.206087  -0.068214  -0.061677   0.024863   0.073834   0.149424   0.230712
  -0.02770    0.00506    0.00082    0.42730    0.02817    2.52105    0.17265    1.98053    0.38049
  -0.02077    0.00468    0.00045    0.41613    0.01573    2.54714    0.09813    2.10786    0.22100
  -0.01385    0.00443    0.00020    0.40823    0.00696    2.56563    0.04396    2.20185    0.10057
  -0.00692    0.00427    0.00005    0.40352    0.00174    2.57666    0.01106    2.25950    0.02559
   0.00000    0.00423    0.00000    0.40196    0.00000    2.58033    0.00000    2.27899    0.00000
   0.00692    0.00428    0.00005    0.40354    0.00172    2.57669    0.01097    2.25970    0.02514
   0.01385    0.00443    0.00019    0.40826    0.00692    2.56570    0.04377    2.20224    0.09970
   0.02077    0.00469    0.00044    0.41618    0.01567    2.54725    0.09786    2.10843    0.21974
   0.02770    0.00508    0.00081    0.42737    0.02809    2.52119    0.17230    1.98126    0.37891
   0.03462    0.00560    0.00131    0.44193    0.04435    2.48729    0.26578    1.82483    0.56874
   0.04155    0.00628    0.00196    0.46001    0.06466    2.44531    0.37659    1.64422    0.77900
   0.04847    0.00715    0.00280    0.48174    0.08925    2.39496    0.50266    1.44543    0.99824
   0.05540    0.00825    0.00387    0.50731    0.11842    2.33595    0.64150    1.23515    1.21430
   0.06232    0.00963    0.00521    0.53689    0.15247    2.26803    0.79029    1.02062    1.41499
   0.06924    0.01134    0.00687    0.57066    0.19173    2.19097    0.94579    0.80940    1.58871
   0.07617    0.01346    0.00893    0.60881    0.23652    2.10461    1.10447    0.60912    1.72509
   0.08309    0.01606    0.01147    0.65150    0.28719    2.00893    1.26246    0.42721    1.81565
   0.09002    0.01925    0.01460    0.69885    0.34404    1.90404    1.41569    0.27061    1.85431
   0.09694    0.02315    0.01842    0.75096    0.40734    1.79021    1.55991    0.14550    1.83788
   0.10387    0.02790    0.02309    0.80784    0.47730    1.66795    1.69078    0.05696    1.76634
   0.11079    0.03367    0.02878    0.86944    0.55403    1.53804    1.80405    0.00871    1.64306
   0.11771    0.04066    0.03567    0.93559    0.63754    1.40149    1.89563    0.00282    1.47468
   0.12464    0.04909    0.04399    1.00600    0.72770    1.25968    1.96177    0.03956    1.27091
   0.13156    0.05923    0.05401    1.08024    0.82419    1.11426    1.99925    0.11721    1.04406
   0.13849    0.07137    0.06603    1.15771    0.92648    0.96724    2.00554    0.23198    0.80833
   0.14541    0.08585    0.08038    1.23760    1.03382    0.82094    1.97899    0.37810    0.57900
   0.15234    0.10306    0.09744    1.31892    1.14517    0.67795    1.91899    0.54793    0.37140
   0.15926    0.12341    0.11763    1.40044    1.25921    0.54111    1.82614    0.73223    0.19981
   0.16619    0.14736    0.14142    1.48072    1.37432    0.41342    1.70234    0.92057    0.07638
   0.17311    0.17543    0.16930    1.55811    1.48855    0.29796    1.55088    1.10185    0.01011
   0.18003    0.20813    0.20181    1.63072    1.59967    0.19774    1.37646    1.26486    0.00595
   0.18696    0.24603    0.23951    1.69651    1.70513    0.11561    1.18508    1.39902    0.06420
   0.19388    0.28970    0.28297    1.75330    1.80218    0.05407    0.98394    1.49507    0.18022
   0.20081    0.33973    0.33278    1.79885    1.88788    0.01513    0.78114    1.54576    0.34453
   0.20773    0.39667    0.38949    1.83088    1.95920    0.00015    0.58540    1.54650    0.54336
   0.21466    0.46105    0.45363    1.84726    2.01313    0.00968    0.40564    1.49588    0.75956
   0.22158    0.53333    0.52566    1.84600    2.04680    0.04334    0.25047    1.39594    0.97396
   0.22851    0.61387    0.60597    1.82545    2.05766    0.09971    0.12771    1.25233    1.16695
   0.23543    0.70294    0.69479    1.78441    2.04359    0.17629    0.04382    1.07408    1.32029
   0.24235    0.80063    0.79224    1.72219    2.00307    0.26952    0.00340    0.87318    1.41885
   0.24928    0.90683    0.89820    1.63883    1.93540    0.37486    0.00875    0.66378    1.45225
   0.25620    1.02122    1.01238    1.53508    1.84076    0.48692    0.05954    0.46124    1.41605
   0.26313    1.14323    1.13418    1.41257    1.72038    0.59970    0.15262    0.28095    1.31251
   0.27005    1.27200    1.26276    1.27380    1.57662    0.70686    0.28203    0.13703    1.15068
   0.27698    1.40635    1.39695    1.12215    1.41296    0.80213    0.43918    0.04105    0.94574
   0.28390    1.54481    1.53528    0.96180    1.23401    0.87961    0.61337    0.00094    0.71770
   0.29082    1.68559    1.67596    0.79767    1.04539    0.93422    0.79231    0.02010    0.48949
   0.29775    1.82660    1.81691    0.63520    0.85354    0.96208    0.96303    0.09685    0.28460
   0.30467    1.96548    1.95578    0.48019    0.66551    0.96082    1.11274    0.22435    0.12456
   0.31160    2.09965    2.08998    0.33849    0.48862    0.92986    1.22986    0.39108    0.02648
   0.31852    2.22639    2.21680    0.21572    0.33011    0.87052    1.30499    0.58165    0.00102
   0.32545    2.34287    2.33341    0.11699    0.19679    0.78603    1.33169    0.77821    0.05098
   0.33237    2.44631    2.43703    0.04657    0.09457    0.68146    1.30719    0.96199    0.17074
   0.33930    2.53401    2.52497    0.00758    0.02815    0.56336    1.23271    1.11519    0.34673
   0.34622    2.60351    2.59476    0.00182    0.00068    0.43938    1.11350    1.22271    0.55881
   0.35314    2.65269    2.64427    0.02955    0.01347    0.31779    0.95854    1.27373    0.78248
   0.36007    2.67983    2.67179    0.08944    0.06589    0.20684    0.77989    1.26287    0.99171
   0.36699    2.68376    2.67614    0.17857    0.15531    0.11417    0.59171    1.19088    1.16199
   0.37392    2.66389    2.65671    0.29254    0.27719    0.04624    0.40914    1.06456    1.27331
   0.38084    2.62024    2.61354    0.42573    0.42534    0.00781    0.24695    0.89624    1.31251
   0.38777    2.55353    2.54732    0.57154    0.59220    0.00159    0.11838    0.70247    1.27499
   0.39469    2.46510    2.45940    0.72280    0.76932    0.02801    0.03391    0.50240    1.16519
   0.40162    2.35690    2.35171    0.87218    0.94784    0.08524    0.00042    0.31579    0.99610
   0.40854    2.23141    2.22673    1.01259    1.11899    0.16927    0.02063    0.16104    0.78764
   0.41546    2.09155    2.08737    1.13761    1.27466    0.27436    0.09292    0.05329    0.56425
   0.42239    1.94056    1.93686    1.24181    1.40779    0.39340    0.21158    0.00300    0.35189
   0.42931    1.78187    1.77862    1.32106    1.51280    0.51857    0.36740    0.01501    0.17499
   0.43624    1.61894    1.61612    1.37268    1.58582    0.64192    0.54855    0.08820    0.05366
   0.44316    1.45516    1.45274    1.39554    1.62486    0.75596    0.74172    0.21583    0.00149
   0.45009    1.29371    1.29164    1.39002    1.62975    0.85421    0.93325    0.38646    0.02420
   0.45701    1.13742    1.13568    1.35786    1.60209    0.93156    1.11031    0.58527    0.11942
   0.46393    0.98875    0.98730    1.30196    1.54496    0.98462    1.26186    0.79564    0.27724
   0.47086    0.84966    0.84847    1.22612    1.46261    1.01175    1.37942    1.00089    0.48185
   0.47778    0.72164    0.72068    1.13471    1.36010    1.01306    1.45751    1.18579    0.71350
   0.48471    0.60566    0.60488    1.03235    1.24294    0.99024    1.49384    1.33784    0.95099
   0.49163    0.50221    0.50159    0.92363    1.11666    0.94620    1.48909    1.44813    1.17393
   0.49856    0.41134    0.41086    0.81284    0.98653    0.88480    1.44661    1.51179    1.36475
   0.50548    0.33274    0.33236    0.70377    0.85725    0.81042    1.37175    1.52795    1.51024
   0.51241    0.26577    0.26548    0.59956    0.73281    0.72756    1.27125    1.49930    1.60231
   0.51933    0.20956    0.20934    0.50264    0.61632    0.64057    1.15251    1.43145    1.63819
   0.52625    0.16310    0.16293    0.41469    0.51002    0.55335    1.02296    1.33199    1.62000
   0.53318    0.12526    0.12514    0.33671    0.41530    0.46916    0.88950    1.20959    1.55385
   0.54010    0.09492    0.09483    0.26906    0.33277    0.39052    0.75810    1.07311    1.44870
   0.54703    0.07095    0.07089    0.21160    0.26237    0.31921    0.63354    0.93085    1.31506
   0.55395    0.05231    0.05226    0.16376    0.20355    0.25625    0.51931    0.79003    1.16379
   0.56088    0.03802    0.03799    0.12471    0.15538    0.20206    0.41763    0.65639    1.00513
   0.56780    0.02725    0.02723    0.09345    0.11670    0.15652    0.32956    0.53410    0.84790
   0.57473    0.01925    0.01923    0.06890    0.08622    0.11910    0.25524    0.42577    0.69908
   0.58165    0.01340    0.01339    0.04997    0.06266    0.08902    0.19401    0.33259    0.56362
   0.58857    0.00919    0.00918    0.03565    0.04479    0.06537    0.14475    0.25463    0.44452
   0.59550    0.00620    0.00620    0.02501    0.03149    0.04714    0.10599    0.19108    0.34306
   0.60242    0.00413    0.00412    0.01726    0.02176    0.03339    0.07617    0.14055    0.25909
   0.60935    0.00270    0.00270    0.01170    0.01478    0.02322    0.05371    0.10132    0.19151
   0.61627    0.00174    0.00174    0.00780    0.00987    0.01585    0.03715    0.07157    0.13851
   0.62320    0.00110    0.00110    0.00510    0.00647    0.01062    0.02519    0.04952    0.09799
   0.63012    0.00069    0.00069    0.00328    0.00416    0.00697    0.01674    0.03353    0.06776
   0.63704    0.00042    0.00042    0.00206    0.00262    0.00448    0.01088    0.02219    0.04574
   0.64397    0.00025    0.00025    0.00127    0.00162    0.00282    0.00691    0.01433    0.03009
   0.65089    0.00015    0.00015    0.00076    0.00097    0.00172    0.00427    0.00900    0.01922
   0.65782    0.00008    0.00008    0.00045    0.00057    0.00102    0.00256    0.00546    0.01185
   0.66474    0.00005    0.00005    0.00025    0.00032    0.00058    0.00147    0.00317    0.00698
   0.67167    0.00002    0.00002    0.00013    0.00017    0.00031    0.00079    0.00173    0.00384
   0.67859    0.00001    0.00001    0.00006    0.00008    0.00015    0.00038    0.00085    0.00190
   0.68552    0.00000    0.00000    0.00002    0.00003    0.00006    0.00015    0.00034    0.00076
   0.69244    0.00000    0.00000    0.00001    0.00001    0.00001    0.00004    0.00008    0.00018
